Definition,Description
chỉ số ev/ebitda,"EV/EBITDA (1). Chỉ số EV/EBITDA là một chỉ số được sử dụng để xác định giá trị của một công ty. Nó được tính bằng cách chia Giá trị doanh nghiệp (EV) cho Lợi nhuận trước thuế, lãi vay, và khấu hao (EBITDA). Chỉ số EV/EBITDA đo lường giá trị của công ty, có bao gồm cả nợ và tiền mặt và so sánh giá trị của công ty với khả năng sinh lời bằng tiền của công ty đó. EV/EBITDA (2). Chỉ số EV/EBITDA có thể thay đổi tùy theo ngành, thường những ngành có tăng trưởng cao hơn thì chỉ số EV/EBITDA sẽ cao hơn và ngược lại những ngành tăng trưởng thấp hơn sẽ có chỉ số EV/EBITDA thấp. Ví dụ ngành giáo dục, y tế ở Việt Nam thường có chỉ số EV/EBITDA dao động ở mức 10-15x trong khi các ngành sản xuất thường có chỉ số EV/EBITDA dao động trong khoảng 6.0x đến 9.0x."
vốn hóa thị trường,"Vốn hóa thị trường (1). Vốn hóa thị trường (Market capital)&nbsp;là tổng giá trị thị trường tính bằng đồng Việt Nam của Số cổ phiếu đang lưu hành của một công ty, được tính bằng cách nhân tổng số cổ phiếu đang lưu hành của một công ty với giá thị trường hiện tại của một cổ phiếu.&nbsp;Ví dụ: một công ty có 1 triệu cổ phiếu đang lưu hành với giá thị trường là 20,000 đồng mỗi cổ phiếu, sẽ có giá trị vốn hóa thị trường là 200 tỷ đồng. Vốn hóa thị trường (2). Nhà đầu tư thường sử dụng vốn hóa thị trường để xác định quy mô của một công ty thay vì doanh số bán hàng hay tổng tài sản của công ty.&nbsp; Đến hết tháng 03/2022, trên thị trường chứng khoán Việt Nam đã có 49 doanh nghiệp có vốn hóa hơn 1 tỷ USD. Trong đó có 3 doanh nghiệp xếp đầu có vốn hóa trên 10 tỷ USD, bao gồm: - Tập đoàn Vingroup (VIC) - Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam (VCB) - Công ty cổ phần Vinhomes (VHM)."
vn-index,"VN-Index (1). VN-Index là chỉ số đại diện cho các công ty niêm yết trên Sở Giao dịch Chứng khoán TP. HCM &nbsp;từ khi thị trường chứng khoán đi vào hoạt động. Chỉ số này được tính theo phương pháp trọng số giá trị thị trường, dựa vào mức độ chi phối của từng cổ phiếu được sử dụng.&nbsp;VN-Index có giá trị cơ sở ban đầu là 100 điểm, vào ngày cơ sở là ngày đầu tiên thị trường đi vào hoạt động 28/7/2000. VN-Index được tính theo công thức: VN-Index = (Tổng giá trị thị trường của các cổ phiếu niêm yết hiện tại / Tổng giá trị của các cổ phiếu niêm yết cơ sở) x 100 VN-Index (2). Chỉ số được tính toán và thay đổi trong thời gian diễn ra giao dịch. Theo đó, sự biến động về giá cổ phiếu sẽ làm thay đổi giá trị chỉ số, đồng thời được so sánh tăng giảm đối với phiên giao dịch trước bằng %. Điều này sẽ làm phát sinh tính không liên tục của chỉ số, các trọng số và cơ sở để xác định bình quân thị trường số chia đã thay đổi. Do đó, số chia mẫu số trong công thức tính chỉ số trên phải được điều chỉnh nhằm duy trì tính liên tục cần có của chỉ số.&nbsp;"
giá trị sổ sách,"Giá trị sổ sách (1). Giá trị sổ sách (book value) còn được gọi là giá trị ghi sổ hay giá trị kế toán. Giá trị sổ sách được dùng để đánh giá giá trị thực của một doanh nghiệp,&nbsp;một cổ phiếu, hoặc tài sản khác so sánh với giá trị thị trường (market value) của chúng. Giá trị sổ sách của một doanh nghiệp được tính bằng cách lấy giá trị tài sản của một doanh nghiệp trừ đi nợ phải trả của doanh nghiệp đó.  Giá trị sổ sách của một cổ phiếu bằng giá trị sổ sách của doanh nghiệp chia cho số lượng cổ phiếu đang lưu hành. Giá trị sổ sách (2). Giá trị sổ sách là một chỉ số quan trọng để đánh giá hiệu quả hoạt động kinh doanh và khả năng sinh lời của doanh nghiệp. Nếu giá trị sổ sách cao hơn giá trị thị trường, có nghĩa là doanh nghiệp đang bị định giá thấp so với giá trị thực của nó, và ngược lại. Giá trị sổ sách cũng là một yếu tố ảnh hưởng đến giá cổ phiếu, vì nó phản ánh khả năng thanh toán nợ và tái đầu tư của doanh nghiệp. Giá trị sổ sách mỗi cổ phiếu. Giá trị sổ sách trên mỗi cổ phiếu (Book value per share,&nbsp;BVPS) của một công ty được tính bằng vốn chủ sở hữu &nbsp;của cổ đông phổ thông trong công ty chia cho số lượng cổ phiếu lưu hành . Nếu công ty giải thể, giá trị sổ sách mỗi cổ phiếu cho biết giá trị tính bằng đồng còn lại của các cổ đông phổ thông sau khi tất cả tài sản được thanh lý và tất cả các khoản nợ đã được thanh toán."
giá trị doanh nghiệp (ev),"Giá trị doanh nghiệp (1). Giá trị doanh nghiệp (Enterprise value, EV) là thước
đo tổng giá trị của công ty, thường được sử dụng thay thế cho giá trị vốn hóa thị trường &nbsp;của một công ty. EV bao gồm vốn hóa thị trường của một công ty cũng như nợ ngắn hạn, nợ&nbsp;dài hạn và bất kỳ khoản tiền mặt nào trên bảng cân đối kế toán &nbsp;của công ty, và được xem là thể hiện giá trị của một công ty chính xác hơn vốn hóa thị trường. Giá trị doanh nghiệp được sử dụng phổ biến để làm cơ sở cho nhiều chỉ số tài chính đo lường hiệu quả hoạt động của công ty. Giá trị doanh nghiệp (2). Giá trị doanh nghiệp có thể được tính bằng công thức sau: EV = Vốn hóa thị trường + Tổng nợ - Giá trị tiền và các
khoản tương đương tiền Trong đó, “tổng nợ” (= nợ ngắn hạn + nợ dài hạn) và “tiền và
các khoản tương đương tiền” được công ty công bố trên báo cáo tài chính hàng quý
của công ty. Vốn hóa thị trường được tính bằng cách nhân số cổ phiếu đang lưu hành
với giá trị thị trường hiện tại của một cổ phiếu."
thị trường chứng khoán,"Thị trường chứng khoán (1). Thuật ngữ thị trường chứng khoán&nbsp;(Securities Market) đề cập đến một số sàn giao dịch trong đó chứng khoán của các công ty đại chúng, bao gồm&nbsp; cổ phiếu , trái phiếu , chứng chỉ quỹ được mua và bán. Thị trường chứng khoán là một phần của hệ thống tài chính. Thuật ngữ&nbsp;thị trường chứng khoán và sàn giao dịch chứng khoán&nbsp;thường được sử dụng thay thế cho nhau. Các nhà đầu tư giao dịch mua hoặc bán&nbsp;chứng khoán trên một hoặc nhiều sàn giao dịch chứng khoán, mỗi sàn giao dịch là một phần của thị trường chứng khoán tổng thể. Thị trường chứng khoán (2). Thị trường chứng khoán cung cấp một môi trường an toàn và được quản lý, hoạt động theo các quy tắc xác định do cơ quan quản lý nêu ra,cho phép nhà đầu tư tham gia&nbsp;thị trường có thể giao dịch cổ phiếu và các công cụ tài chính đủ điều kiện khác mà không bị rủi ro trong giao dịch.&nbsp; Thị trường chứng khoán có thị trường sơ cấp &nbsp;và thị trường thứ cấp . Thị trường chứng khoán (3). Thị trường sơ cấp, thị trường chứng khoán cho phép các công ty phát hành và bán cổ phiếu ra công chúng lần đầu tiên thông qua quá trình phát hành cổ phiếu lần đầu ra công chúng ( IPO ). Hoạt động này giúp các công ty huy động được nguồn vốn cần thiết từ các nhà đầu tư. Sau khi phát hành, các nhà đầu tư mua bán cổ phiếu trên thị trường sơ cấp có thể giao dịch chứng khoán đã mua với nhau gọi là giao dịch&nbsp;thứ cấp. Thị trường chứng khoán (4). Thị trường chứng khoán là một phần của nền kinh tế thị trường tự do. Nó cho phép các công ty huy động tiền bằng cách chào bán cổ phiếu và trái phiếu doanh nghiệp, đồng thời cho phép các nhà đầu tư tham gia vào công ty thông qua việc mua cổ phiếu, đồng thời&nbsp;kiếm lợi nhuận thông qua cổ tức và tăng giá cổ phiếu. Thị trường chứng khoán cũng cung cấp các sản phẩm tài chính để cá nhân có thêm cơ hội đầu tư hiệu quả và góp phần hình thành vốn và tăng trưởng kinh tế của đất nước."
chỉ số p/book,"P/Book (1). Chỉ số P/B (Price to Book ratio) là chỉ số Giá / Giá trị sổ sách mỗi cổ phần , được dùng để so sánh giá của cổ phiếu hiện tại và giá trị sổ sách của cổ phiếu đó. Công thức tính chỉ số P/B: P/B = Giá cổ phiếu / Giá trị sổ sách mỗi cổ phần hoặc P/B = Vốn hoá thị trường &nbsp;/&nbsp; Vốn chủ sở hữu P/B thường có mức cao hơn 1.0x. Nếu P/B nhỏ hơn 1.0x, thì công ty đang giao dịch dưới giá trị sổ sách.&nbsp;Nhìn chung, nếu P/B thấp, nghĩa là giá cổ phiếu càng rẻ và ngược lại. P/Book (2). Tuy nhiên, để đánh giá đúng tiềm năng của một doanh nghiệp, thì P/B cần phải được so sánh với các công ty trong ngành. Ví dụ, một công ty có mức P/B khoảng 1.0x là tương đối thấp nhưng nếu toàn ngành đang có mức P/B trung bình ở mức 0.8x thì mức 1.0x sẽ trở thành cao hoặc đắt."
thị trường gấu,"Thị trường Gấu (1). Thị trường gấu, hay thị trường giá xuống (Bear market) là thị trường sụt giảm giá kéo dài, các chỉ số thị trường sụt giảm 20% hoặc hơn so với mức cao trước đó. Khi rơi vào thị trường gấu, nhà đầu tư dễ rơi vào tâm lý sợ hãi và thường vội vàng cắt lỗ, dẫn đến thị trường có thể giảm sâu hơn trong thời gian dài. Thị trường gấu thường đi kèm với sự suy giảm kinh tế , nghiêm trọng hơn là suy thoái kinh tế . Thị trường gấu tương phản với thị trường bò (bull market) là thị trường có xu hướng giá đi lên. Thị trường Gấu (2). Nguyên nhân dẫn đến thị trường gấu về cơ bản xuất phát từ nền kinh tế yếu kém hoặc chậm lại, đại dịch, chiến tranh, khủng hoảng chính trị hoặc sự thay đổi mạnh mẽ trong nền kinh tế, v.v.  đều có thể dẫn đến thị trường gấu. Ví dụ: - Ở Mỹ, khi chỉ số S&amp;P (chỉ số của 500 công ty lớn nhất nước Mỹ) giảm hơn 20% thì được cho là thị trường gấu. - Ở Việt Nam, khi chỉ số VNIndex giảm hơn 20% cũng được xem là thị trường đang trong xu hướng giá xuống. Thị trường Gấu (3). Thị trường gấu và thị trường điều chỉnh đều có cùng đặc điểm là sụt giảm trong các chỉ số thị trường, tuy nhiên, thị trường điều chỉnh chỉ là xu hướng ngắn hạn, thường kéo dài dưới hai tháng hoặc có thể chỉ trong vài ngày. Vì thế, nhà đầu tư nên phân biệt khi nào là thị trường gấu và khi nào là thị trường điều chỉnh để có chiến lược đầu tư tốt nhất. Thị trường Gấu (4). Trong xu hướng thị trường gấu, nhà đầu tư không nên bán tháo cổ phiếu đang nắm giữ theo đà giảm chung của thị trường hay tâm lý của đám đông,  tránh phân bổ tài sản &nbsp;hết&nbsp;vào một cổ phiếu&nbsp;duy nhất.&nbsp; Thay vào đó, nhà đầu tư cần tìm kiếm và đánh giá các cơ hội đầu tư từ các cổ phiếu có triển vọng kinh doanh tốt mà giá đang giảm do tác động từ thị trường chung. Đặc biệt, nhóm cổ phiếu phòng thủ nên được cân nhắc lựa chọn trong giai đoạn này vì giúp mang lại thu nhập qua dòng cổ tức được chi trả khá đều đặn."
những lầm tưởng về đầu tư,"Lầm tưởng về đầu tư chứng khoán. Chắc hẳn bạn đã nghe qua về thị trường chứng khoán và có nhiều thắc mắc về hoạt động của thị trường cũng như những điều cần biết khi đầu tư chứng khoán. Tititada sẽ giải đáp những thắc mắc và đập tan những nhận định sai lầm, giúp bạn hiểu rõ hơn những mong đợi của một nhà đầu tư. Lầm tưởng: Làm giàu nhanh chóng (1). Sự thật là…đầu tư chứng khoán giống như trồng cây, đòi hỏi thời gian và sự kiên nhẫn. Tuy vẫn có một số người chấp nhận mạo hiểm với những chiến lược đầu tư ngắn hạn. Lầm tưởng: Làm giàu nhanh chóng (2). Với số đông các nhà đầu tư mới, việc mua cổ phiếu tốt và nắm giữ lâu dài (buy and hold) là chiến lược phù hợp nhất. Song quá trình này&nbsp;đòi hỏi bạn phải có&nbsp;tính kỷ luật và kiên trì. Lầm tưởng: Chứng khoán giống cờ bạc (1). Một số người cho rằng đầu tư chứng khoán quá nhiều rủi ro, giống như cơ bạc, phụ thuộc vào sự may mắn. Khi may mắn, có thể mua bất cứ cổ phiếu nào cũng có lời, ngươc lại khi không may mắn, cổ phiếu tốt nhất cũng giảm giá. Sự thật là, đầu tư không phải là canh bạc. Lầm tưởng: Chứng khoán giống cờ bạc (2). Lên kế hoạch chi tiêu, xác định số tiền đầu tư hàng tháng, chọn lọc cổ phiếu phù hợp với thời gian đầu tư và mục tiêu tài chính dài hạn sẽ giúp bạn&nbsp;hạn chế rủi ro biến động thị trường trong ngắn hạn. Lầm tưởng: Chứng khoán giống cờ bạc (3). Sự kiên trì, tập trung vào những mục tiêu dài hạn và trang bị kiến thức đầu tư cơ bản nhất sẽ giúp bạn đầu tư hiệu quả. Ví dụ, nếu bạn đầu tư 10 triệu đồng vào cổ phiếu FPT, trong ngắn hạn, giá cổ phiếu có thể tăng giảm, khoản đầu tư của bạn có thể lời, có thể lỗ. Lầm tưởng: Chứng khoán giống cờ bạc (4). Nhưng nếu bạn nắm giữ trong 5 năm, khoản đầu tư 10 triệu ấy đã thành 48 triệu, tức là tăng gấp 4.8 lần (tính từ ngày mua 01/01/2017 và nắm giữ đến 01/01/2022, chưa tính cổ tức). Lầm tưởng: Cần có số vốn lớn (1). Trước đây, giao dịch chứng khoán theo lô chẵn với tối thiểu 100 cổ phiếu một lần đặt lệnh. Bạn cần có một khoản tiền lớn mới có thể tham gia thị trường. Và thường những tài khoản có vốn đầu tư lớn, mua bán thường xuyên sẽ được các môi giới cá nhân&nbsp;chăm sóc việc đặt lệnh. Lầm tưởng: Cần có số vốn lớn (2). Việc mở tài khoản cũng mất nhiều thời gian và cần được các nhân viên môi giới hướng dẫn. Nhưng với sự phát triển công nghệ trong tài chính, hiện nay bạn có thể mở tài khoản một cách dễ dàng, hoàn toàn online mà không cần có sự hướng dẫn của ai. Lầm tưởng: Cần có số vốn lớn (3). Bạn hoàn toàn có thể tự trang bị những kiến thức đầu tư cơ bản cho riêng mình, và cũng có thể mua cổ phiếu lô lẻ với một số tiền rất nhỏ. Để bắt đầu đầu tư, ban chỉ cần đăng ký tài khoản với Tititada và nạp tiền một số tiền bằng một ly trà sữa là có thể bắt đầu. Lầm tưởng: Phải giỏi tài chính (1). Bạn có biết, ở Đài Loan, trên 50% dân số có tài khoản đầu tư chứng khoán? Ở Mỹ, tỉ lệ này là 56%. Sự thật là…đầu tư chứng khoán không phải chỉ dành cho người chuyên về tài chính hay có nhiều năm kinh nghiệm. Ở các nước phát triển, chứng khoán là kênh đầu tư phổ biến giúp người dân tích lũy để có tài sản khi về hưu. Lầm tưởng: Phải giỏi tài chính (2). Việc bạn cần làm là bắt đầu hành trình đầu tư ngay từ bây giờ. Bắt đầu càng sớm, cơ hội tích luỹ kiến thức, kinh nghiệm càng nhiều. Với Tititada, bạn chỉ cần một số vốn rất nhỏ để tập quen dần với đầu tư chứng khoán. Sau một thời gian bạn sẽ tích lũy thêm tài sản và cả kinh nghiệm đầu tư, từ đó sẽ tự tin hơn và việc đầu tư càng thêm hiệu quả. Lầm tưởng: Tốn nhiều thời gian (1). Sự thật là… đầu tư chứng khoán cũng giống trồng cây. Bạn sẽ mất thời gian lúc đầu để tìm hiểu thị trường, xác định số tiền dư dả hàng tháng mà mình mong muốn đầu tư, chọn ba đến năm công ty tốt phù hợp với tiêu chí của mình. Lầm tưởng: Tốn nhiều thời gian (2). Sau đó, nếu có thời gian, mỗi ngày bạn chỉ cần dành 5-10 phút để xem biến động của danh mục đầu tư của mình và theo dõi thị trường. Lầm tưởng: Tốn nhiều thời gian (3). Nếu không có thời gian, bạn hoàn toàn có thể cập nhật thông tin cuối tuần khi rảnh rỗi, hoặc thậm chí là mỗi tháng một lần về danh mục đầu tư của mình. Lầm tưởng: Tốn nhiều thời gian (4). Ngoài ra, Tititada còn thiết kế những tính năng riêng để giúp bạn càng tiết kiệm thời gian hơn với đặt lệnh định kỳ, đặt lệnh sau giờ giao dịch, và thông báo thông minh nhắc bạn tin tức nổi bật về thị trường chứng khoán hay danh mục đầu tư. Bạn có thể yên tâm việc đầu tư sẽ không làm tốn thời gian hay ảnh hưởng công việc của bạn. Cùng nhìn lại nhé! (1). Sau đây hãy cùng điểm lại những ý chính: - Đầu tư chứng khoán không phải làm giàu nhanh chóng - Đầu tư chứng khoán không phải là cờ bạc dễ mất tiền hay phụ thuộc hoàn toàn vào may mắn. - Đầu tư là hành trình lâu dài và cần trang bị một số kiến thức cơ bản. Cùng nhìn lại nhé! (2). - Đầu tư không cần vốn lớn, bạn có thể bắt đầu ngay hôm nay với số tiền bất kỳ. - Đầu tư không phải là bài bạc, nếu&nbsp;bạn đầu tư dài hạn, kiểm soát rủi&nbsp;ro. - Kiến thức và kinh nghiệm tích luỹ theo thời gian, quan trọng là&nbsp;bắt đầu từ sớm. - Đầu tư không tốn quá nhiều thời gian của bạn."
khi thị trường chứng khoán giảm điểm mạnh,"Tháng kinh hoàng của chứng khoán Việt . Ngày 4/4/2022, thị trường chứng khoán đang ở đỉnh của sự thăng hoa với chỉ số VNINDEX mở cửa ở ngưỡng 1528.87, tăng hơn&nbsp;12 điểm so với&nbsp;mức 1516.44 điểm của phiên giao dịch trước. Các nhà đầu tư ai cũng đều hy vọng vào một uptrend dài trong năm 2022.&nbsp; Tháng kinh hoàng của chứng khoán Việt. Nhiều chuyên gia nhận định rằng mức chỉ số đạt 2,000 điểm là hoàn toàn khả thi.&nbsp; Thế nhưng, chỉ trong vòng hơn 1 tháng, thị trường đã điều chỉnh mạnh từ 1,528 điểm&nbsp;tại ngày 4/4/2022 xuống 1,182.77 vào phiên đóng cửa ngày 13/5/2022, giảm hơn 345 điểm (-23%) chỉ trong vòng 1 tháng. Tháng kinh hoàng của chứng khoán Việt . Nhiều phiên giao dịch diễn ra trong hoảng loạn, nhà đầu tư tháo chạy, bán tháo bán vội cổ phiếu mình đang nắm giữ, bất chấp giá. Thị trường đạt mức giảm điểm kỷ lục trong 1 phiên với mức giảm là 80.42 điểm vào ngày 25/4/2022. Tháng kinh hoàng của chứng khoán Việt . Có thể dễ nhận ra, các nhà đầu tư mới tham gia thị trường, khi thị trường xảy ra những lần điều chỉnh, thường hoang mang và đưa ra những quyết định chủ yếu&nbsp;dựa vào cảm xúc gây nên thiệt hại cho bản thân. Sau đây là một vài kinh nghiệm nhỏ mà Tititada muốn chia sẻ với mọi người: Điều nên làm khi thị trường giảm (1). 1. Tránh bán tháo trong hoảng loạn Khi thị trường giảm mạnh, các nhà đầu tư thường để cảm xúc chi phối dẫn đến đua nhau bán tháo cổ phiếu và thường bị lỗ lớn.&nbsp;Tuy nhiên, những biến động&nbsp;thị trường ngắn hạn&nbsp;thường không&nbsp;ảnh hưởng đến&nbsp;tăng trưởng của các công ty tiềm năng. Điều nên làm khi thị trường giảm (2). 2. Đánh giá lại danh mục đầu tư Thị trường sụp đổ thường là hồi chuông cảnh tỉnh để giúp chúng ta tập trung nghiên cứu và xem xét kỹ danh mục đầu tư của mình. Khi thị trường tăng mạnh, chúng ta đánh đâu thắng đó, dễ dàng nghe lời “phím hàng” từ các cá nhân khác rồi nghe theo. Điều nên làm khi thị trường giảm (3). Vậy nên, xem lại lý do bạn mua cổ phần của các công ty trong danh mục đầu tư của bạn, nếu luận điểm đầu tư của bạn về một công ty thay đổi nghiêm trọng, có lẽ bạn nên bán, còn nếu bạn vẫn vững niềm tin vào công ty, hãy thư giãn và tự tin mua vào cổ phiếu của các công ty chất lượng với mức giá chiết khấu. Điều nên làm khi thị trường giảm (4). 3. Tránh vay ký quỹ Sử dụng đòn bẩy tài chính (vay ký quỹ) có thể giúp bạn nâng cao lợi nhuận nhưng cũng có thể bào mòn tài khoản của bạn nhất là khi thị trường đang tăng nóng hoặc khi&nbsp;rơi vào trạng thái bất ổn. Điều nên làm khi thị trường giảm (5). Nếu bạn không phải nhà đầu tư mạo hiểm và không tính toán rõ rủi ro liên quan đến hình thức vay tiền ký quỹ này, tốt nhất bạn nên tránh vay kí quỹ khi thị trường sụp đổ. Điều nên làm khi thị trường giảm (6). 4. Tìm kiếm cơ hội mua mới Thị trường sụp đổ không có nghĩa là tất cả các cổ phiếu và công ty đều sụp đổ. Một số nhóm&nbsp;cổ phiếu có thể theo dõi khi thị trường điều chỉnh như: - Nhóm cổ phiếu phòng thủ: Các cổ phiếu trả cổ tức và thu nhập ổn định bất chấp thị trường. Điều nên làm khi thị trường giảm (7). Ví dụ: nhóm ngành khai thác than, quặng, lương thực, dược phẩm,... - Nhóm cổ phiếu tăng trưởng: Hãy chú tâm đến những công ty có tính sáng tạo cao và có giải pháp đột phá giúp vượt qua khủng hoảng. Ví dụ: Zoom tăng trưởng đột biến trong mùa dịch Covid. Điều nên làm khi thị trường giảm (8). - Cổ phiếu hưởng lợi: Tìm kiếm, phân tích nguyên nhân, tình hình vĩ mô khi thị trường sập có thể sẽ giúp bạn khám phá ra các công ty tiềm năng hưởng lợi trong khủng hoảng. Ví dụ: Thời&nbsp;Covid, vai trò của ngành y tế tăng mạnh, các cổ phiếu cơ bản ngành y tế dược phẩm đều tăng nóng. Điều nên làm khi thị trường giảm (9). 5. Chú tâm vào đầu tư dài hạn Albert Einstein gọi “lãi suất kép là kì quan thứ 8 của thế giới”. Bạn phải suy nghĩ dài hạn nếu muốn cộng gộp tài sản nhiều lần. Điều này không chỉ giúp bạn tạo ra vốn và lãi khổng lồ nếu đầu tư thành công mà còn giúp bạn định hình chiến lược lâu dài. Điều nên làm khi thị trường giảm (10). Đồng thời xây dựng tính kiên trì, kết quả, lợi nhuận ổn định trong tương lai. 6. Thư giãn Thị trường sụp đổ hay điều chỉnh là một phần tất yếu khi đầu tư. Chúng xảy ra phổ biến hơn bạn nghĩ và thị trường điều chỉnh chỉ xảy ra trong ngắn hạn mà thôi. Điều nên làm khi thị trường giảm (11). Hãy nhìn cách thị trường hồi phục sau khi chịu tác động lớn từ đại dịch Covid-19 mà xem! Sau chương này, Tititada hi vọng bạn đã được trang bị thêm kiến thức để có thể bình tĩnh hơn khi thị trường biến động."
